Artist Name,Album Title,Track Title,Record Label,Year,Genre,Style,Tag,Comment,Discogs Release ID
707,Mega Force,"Hell Or Highwater, No Better Feeling",The Boardwalk Entertainment Co,1982,Rock,Hard Rock,Drums,,https://www.discogs.com/release/2623666
707,The Second Album,Millionaire,Renaissance Records,1998,Rock,Pop Rock,Drums,,https://www.discogs.com/release/3244463
1994,1994,Heleana,A&M Records,1978,Rock,Hard Rock,Drums,,https://www.discogs.com/release/1458601
10cc,10cc,Speed Kills,UK Records,1973,Rock,Art Rock,Drums,,https://www.discogs.com/release/5540610
10cc,Look Hear?,Dressed To Kill,Mercury,1980,Rock,Pop Rock,Drums,,https://www.discogs.com/release/1796847
1619 Bad Ass Band,1619 Bad Ass Band,Step Out,TSG Records,1976,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/2965109
1910 Fruitgum Company,Simon Says,Soul Struttin',Buddha Records,2001,Rock,Power Pop,Drums,,https://www.discogs.com/release/7271496
20th Century Steel Band,"Warm Heart, Cold Steel",Heaven and Hell Is on Earth,Island Records,1977,Reggae,Steel Band,UBB,,https://www.discogs.com/release/639054
"238s, The",The Itch - The Scratch,,Sunflower Soul Records,2017,Funk / Soul,Funk,Drums,,https://www.discogs.com/release/9804653
"24-Carat Black, The",Ghetto Misfortune's Wealth,Foodstamps,Enterprise,1973,Jazz,Soul,Drums,,https://www.discogs.com/release/1038329
"2nd Chapter Of Acts, The",With Footnotes,The Devil's Lost Again,Myrrh,1974,Rock,Folk Rock,Drums,,https://www.discogs.com/release/1336779
3 Hür-El,3 Hür-El,Gurbet Türküsü,Guerssen,2009,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/1837718
3 Hür-El,Hürel Arşivi,Gönül Sabreyle Sabreyle,Guerssen,2008,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/1851304
"3 Pieces, The",Vibes Of Truth,Shortnin' Bread,Fantasy,1975,Jazz,Jazz-Funk,Drums,,https://www.discogs.com/release/1246963
5 Stairsteps & Cubie,Love's Happening,Don't Change Your Love,Curtom,1969,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/708226
5000 Volts,5000 Volts,Thunderfire,Philips,1976,Electronic,Disco,Drums,,https://www.discogs.com/release/769078
"5th Dimension, The","Love's Lines, Angles And Rhymes",The Rainmaker,Bell Records,1971,Jazz,Pop Rock,Drums,,https://www.discogs.com/release/402603
"5th Dimension, The",Stoned Soul Picnic,Good News,Soul City,1968,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/3165506
"5th Dimension, The",The Fantastic 5th Dimension,,Liberty,1968,Jazz,Pop Rock,Drums,,https://www.discogs.com/release/1995949
"60,000,000 Buffalo",Nevada Jukebox,"Cocaine Shuffle, Callin' You Down",Atco Records,1972,Rock,Rock & Roll,Drums,,https://www.discogs.com/release/3049926
6680 Lexington,6680 Lexington,Be My Woman,MGM Records,1971,Rock,Blues Rock,Drums,,https://www.discogs.com/release/2040155
7th Wonder,Climbing Higher,Daisy Lady,Parachute Records,1979,Funk / Soul,Disco,UBB,,https://www.discogs.com/release/639041
9th Creation,Reaching For The Top,Happy Go Lucky Man,Prelude Records,1977,Funk / Soul,Funk,Drums,,https://www.discogs.com/release/2110075
"9th Creation, The",Bubble Gum,Rule Of Mind,Ritetrack Record Co.,1975,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/2458435
A Certain Ratio,I'd Like To See You Again,Axis,Factory,1982,Electronic,No Wave,Drums,,https://www.discogs.com/release/25194
A Certain Ratio,To Each...,Back To The Start,Factory,1981,Rock,New Wave,Drums,,https://www.discogs.com/release/26299
A Euphonious Wail,A Euphonious Wail,F#,Kapp Records,1973,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/3468818
A Raincoat,Digalongamacs,You Can Heavy Breathe On Me,EMI,1975,Rock,Classic Rock,Drums,,https://www.discogs.com/release/2607249
A To Austr,A To Austr,What Did You Go?,Holyground,1970,Rock,Folk Rock,Drums,,https://www.discogs.com/release/1368585
A. B. Skhy,Ramblin' On,Trackin' Shoes,MGM Records,1970,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/5683343
A. Valotti,Blackout,Drum Time (Drum Solo),Rouge,1975,Jazz,Jazz-Rock,Drums,,https://www.discogs.com/release/6472063
ABBA,ABBA,"Hey, Hey Helen",Polar,1975,Rock,Pop Rock,Drums,,https://www.discogs.com/release/465186
ABBA,The Visitors,Soldiers,Polar,1981,Electronic,Downtempo,Drums,,https://www.discogs.com/release/1048146
Abeti,Visages,Usisilike,BBZ Productions,1978,Funk / Soul,Afrobeat,Drums,,https://www.discogs.com/release/2498491
Ablution,Ablution,Equator,CBS,1974,Jazz,Fusion,Drums,,https://www.discogs.com/release/3039674
Abraxas,Box,O To Jde (That's What It's All About),Panton,1982,Rock,New Wave,Drums,,https://www.discogs.com/release/1840690
Accept,Restless And Wild,Get Ready,Brain,1982,Rock,Heavy Metal,Drums,,https://www.discogs.com/release/795522
Ace Cannon,Ace Of Sax,Dizzy,Hi Records,1967,Jazz,Rock & Roll,Drums,,https://www.discogs.com/release/3680855
Acid,More Acid,Highway Baby,Underground,1987,Electronic,Acid House,Drums,,https://www.discogs.com/release/61941
Active Force,Active Force,"Cold Blooded Lover, Give Me Your Love",A&M Records,1983,Electronic,Funk,Drums,,https://www.discogs.com/release/1395860
Adam Best,Wall Of Sound,Twenty Five Miles,Fontana,1970,Jazz,Funk,Drums,,https://www.discogs.com/release/1067486
Adam Makowicz,Unit,Sacred Song / Pieśń Religijna,JG-Records,1975,Jazz,Contemporary Jazz,Drums,,https://www.discogs.com/release/792437
Adamkosky,In Your Eye,Steam,Coronet Records,1973,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/6705391
ADC Band,Long Stroke,Long Stroke,Cotillion,1978,Funk / Soul,Disco,Drums,,https://www.discogs.com/release/695415
"Advocates, The",The Advocates,Alive,Dovetail,1973,Rock,Folk Rock,Drums,,https://www.discogs.com/release/1922299
Aerial,In The Middle Of The Night,Indispensable Thomas Hensible,Anthem,1978,Rock,Soft Rock,Drums,,https://www.discogs.com/release/1779546
Aerial,Maneuvers,Up In The Air,Anthem,1980,Rock,Soft Rock,Drums,,https://www.discogs.com/release/1779531
Aerosmith,Toys in the Attic,Walk This Way,Columbia,1975,Rock,Hard Rock,UBB,,https://www.discogs.com/release/380618
Aerosmith,Get Your Wings,"Lord Of The Thighs, Woman Of The World",Columbia,1974,Rock,Hard Rock,Drums,,https://www.discogs.com/release/1512406
Aesop's Fables,In Due Time,What Is Soul,Cadet Concept,1969,Jazz,Psychedelic Rock,Drums,,https://www.discogs.com/release/2109261
Afrique,Soul Makossa,"Kissing My Love, Slow Motion, House Of Rising Funk",Mainstream Records,1973,Funk / Soul,Electric Blues,Drums,,https://www.discogs.com/release/672280
Ahmad Jamal,Rossiter Road,Autumn Rain,Atlantic,1986,Jazz,Contemporary Jazz,Drums,,https://www.discogs.com/release/1388273
Ainigma,Diluvium,Diluvium,Self-Released,1973,Rock,Hard Rock,Drums,,https://www.discogs.com/release/4190649
"Air Mail, The",Top Hits International 2,READ A BOOK,Europa,,Rock,Beat,Drums,,https://www.discogs.com/release/3855014
Air Supply,Air Supply,Ain't It A Shame,Arista,1985,Rock,Soft Rock,Drums,,https://www.discogs.com/release/1481316
Akira Ishikawa,Back To Rhythm,Bongo Rock,Mr Bongo,2019,Jazz,Jazz-Funk,Drums,,https://www.discogs.com/release/13278831
Akira Ishikawa & Count Buffalos,Get Up!,Heated Point,RCA,1975,Jazz,Jazz-Funk,Drums,,https://www.discogs.com/release/8929958
Al Green,Explores Your Mind,Take Me To The River,Hi Records,1974,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/1539141
Al Green,I'm Still In Love With You,I'm Glad You're Mine,Hi Records,1972,Funk / Soul,Rhythm & Blues,Drums,,https://www.discogs.com/release/551010
Al Harrington,I Love This Land,It's A Small World,Maui Records,,Rock,Pop Rock,Drums,,https://www.discogs.com/release/1330528
Al Hirt - Hugo Montenegro,Viva Max!,Sneaky Lady,RCA Victor,1970,Jazz,,Drums,,https://www.discogs.com/release/3090933
Al Hudson And The Partners,Happy Feet,Happy Feet,ABC Records,1979,Funk / Soul,Disco,Drums,,https://www.discogs.com/release/504214
Al Jarreau,"Lonely Town, Lonely Street","Kissing My Love, Use Me",Koala,1979,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/2994736
Al Kooper,The Landlord - Original Movie Picture Soundtrack,The Landlord,United Artists Records,1971,Electronic,Psychedelic Rock,Drums,,https://www.discogs.com/release/613181
Al Rose Trio,It's All Here,Drum Talk,Klondike Records,1970,Jazz,Latin Jazz,Drums,,https://www.discogs.com/release/3959851
Al Wilson,Count The Days,Save A Dance,Roadshow,1979,Funk / Soul,Funk,Drums,,https://www.discogs.com/release/1725128
Al Wilson,La La Peace Song,Fifty-Fifty,Rocky Road Records,1974,Funk / Soul,Rhythm & Blues,Drums,,https://www.discogs.com/release/1346714
Al Wilson,Show And Tell,A Song For You,Rocky Road Records,1973,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/572685
Alan Feanch & Sylvano Santorio,Flash Resonance - Charlotte Detective,Strange Pulsation,Charles Talar Records,,Electronic,Experimental,Drums,,https://www.discogs.com/release/2593802
Alan Garrity,Put Your Hand In The Hand,Put Your Hand In The Hand,Gallo,1971,Pop,,Drums,,https://www.discogs.com/release/13640720
Alan Moorhouse,The Big Beat - Volume 2,Soul Skimmer,Tummy Touch,2007,Jazz,Soul-Jazz,Drums,,https://www.discogs.com/release/1119814
Alan Parker - John Cameron,Afro Rock,Alan Parker – Frozen Steam,KPM Music,1973,Rock,Afrobeat,Drums,,https://www.discogs.com/release/2004129
Alan Price,O Lucky Man! (Original Soundtrack),"Sell, Sell",Warner Bros. Records,1973,Rock,Soft Rock,Drums,,https://www.discogs.com/release/587110
Alan Silvestri,Predator 2 (Original Motion Picture Soundtrack),Main Title,Varèse Sarabande,1990,Stage & Screen,Score,Drums,,https://www.discogs.com/release/2862528
Alan Thicke,Alan Thicke,"Take a Letter Maria, Passing By Tomorrow",Birchmount,1970,Rock,,Drums,,https://www.discogs.com/release/10474555
Alan White,Ramshackled,Oooh Baby (Goin' To Pieces),Atlantic,1976,Jazz,Jazz-Rock,Drums,,https://www.discogs.com/release/1897901
Alastair Riddell,Space Waltz,Seabird,His Master's Voice,1975,Rock,Glam,Drums,,https://www.discogs.com/release/1054299
Albert Lee,Speechless,Bullish Boogie,MCA Records,1986,Jazz,Country Rock,Drums,,https://www.discogs.com/release/2451026
"Albert, The",The Albert,LET IT FALL,Perception Records,1970,Jazz,Jazz-Rock,Drums,,https://www.discogs.com/release/3340181
Alberto Baldan Bembo,Lingua D'Argento,Trop's,Aris,1976,Stage & Screen,Soundtrack,Drums,,https://www.discogs.com/release/4351269
Alcatrazz,Dangerous Games,That Ain't Nothin',Capitol Records,1986,Rock,Hard Rock,Drums,,https://www.discogs.com/release/2369396
Aldo Nova,Aldo Nova,"Hot Love, Heart To Heart, You're My Love",Portrait,1982,Rock,Pop Rock,Drums,,https://www.discogs.com/release/1553941
Alessi,Alessi,Do You Feel It?,A&M Records,1977,Rock,Soft Rock,Drums,,https://www.discogs.com/release/2603561
Alessi,All For A Reason,Air Cushion,A&M Records,1977,Rock,Soft Rock,Drums,,https://www.discogs.com/release/1532193
Alessi,Driftin',Not Tonight,A&M Records,1978,Rock,Pop Rock,Drums,,https://www.discogs.com/release/1449086
Alessi Brothers,Words And Music,Hot Fun In The Summertime,A&M Records,1979,Rock,Pop Rock,Drums,,https://www.discogs.com/release/1654077
Alex Band,Straight On,Straight On,Pronit,1982,Jazz,Funk,Drums,,https://www.discogs.com/release/1214236
Alex Harvey,True Love,You Don't Need A Reason,Capitol Records,1973,Rock,Folk,Drums,,https://www.discogs.com/release/4174548
Alex Weiss,Mazel Tov,Beat,CBS,,Jazz,,Drums,,https://www.discogs.com/release/8428870
Alexander Harvey,Preshus Child,Tulsa Turnaround,Kama Sutra,1976,Rock,Country Rock,Drums,,https://www.discogs.com/release/3938052
"Alfredo "Chocolate" Armenteros",Chocolate Caliente - Bien Sabroso!,Hot Chocolate,Mericana Records,1975,Latin,Salsa,Drums,,https://www.discogs.com/release/3945615
Ali Chukwuma And His Peace Makers Dance Band Of Nigeria,Ego Ji Ọlụ,Ego Ji Ọlụ,Ali Chukwuma,1985,"Folk, World, & Country",African,Drums,,https://www.discogs.com/release/2482316
Alice Cooper,Alice Cooper Goes To Hell,Go To Hell,Warner Bros. Records,1976,Rock,Hard Rock,Drums,,https://www.discogs.com/release/777096
