Artist Name,Title,Thumbnail,Label,Genre,master release date
Eddie Bo,If It's Good To You (It's Good For You),https://i.discogs.com/RHiExyumkzn7mNOlNszjeiuzaW9A2b451PdDU6-wOd8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MzQy/NTAtMTI5MjA4MTQ0/OS5qcGVn.jpeg,Scram Records,Funk / Soul,1969
Bridge (6),Stick Your Finger In The Ground (And Turn The World Around),https://i.discogs.com/dXDQbJhhMCGui3uu4U7ELGmnO2yKgWwWDSm-Jc9PUOE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzQ3/MjItMTM3NzQzMDUz/Mi04ODIwLmpwZWc.jpeg,Graytom Records,Funk / Soul,1977
B. W. Souls,Marvins Groove,https://i.discogs.com/mlFMMyV43Mob_duCZWIvySN15NWD0N8mTUDTO7uOSDE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NzI0/OS0xNTE2OTI3MzU3/LTI5MDMucG5n.jpeg,Round,Funk / Soul,1970
Smokey Brooks,Eternal ,https://i.discogs.com/GXYQH1NpS-PS6gAmieG6A9M2RWieBcmhHB7Cfynx8XM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgyNzQ3/My0xMzg4NzkwNTgz/LTUzNDMuanBlZw.jpeg,Now,Funk / Soul,1971
Brother Soul,Cookies / Do It Good,https://i.discogs.com/DWGbblWkmj_zrLgnhLsGsNXqTvOPaqgeBxUzQVlJxKc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTc0/OTMtMTQ0NDk5NjI1/Ny0xMDcwLmpwZWc.jpeg,,Funk / Soul,1974
Captain Freak & The Lunacycle Band,What Ever Happened To Superman / I Wouldn't Pull Your Toe,https://i.discogs.com/ucpBFN78KzGlKeZMQ5bXNFTZu-mNUmC5o3Go0_T7zXk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NDQ1/NzEtMTMyMjk3NzQ5/OC5qcGVn.jpeg,Phil L.A. Of Soul,"Funk / Soul, Blues",1974
Chuck Carbo,Can I Be Your Squeeze / Take Care Your Home Work Friend,https://i.discogs.com/_3AuD3oO8mQfKOXaM-FTM9MhdkDloh7h_ra4OsXQrQs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMDkw/NjQtMTM5Mjc2OTYx/OC03NTI0LmpwZWc.jpeg,Canyon Records (3),Funk / Soul,1969
E. T. White And His Great Potential Band,Funky Soul Shake,https://i.discogs.com/M4NrlQJu0AVMPcyP4ICXzWIYwJPUV9dr9Ytwy90_4Wk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1MDk0/OC0xNTczODQxMTM1/LTc3MTEuanBlZw.jpeg,Great Potential Records,Funk / Soul,
Village Crusaders,Akiwawa ,https://i.discogs.com/nADBpxxeOI-FxwwsxKLeEYNAgWwUlvIUm_XPSA57kjk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2MTg2/MC0xNTkzNTY0OTk2/LTI3MzcuanBlZw.jpeg,Trans-American,"Jazz, Latin, Funk / Soul",1969
Udo Jürgens,Deine Einsamkeit / Peace Now,https://i.discogs.com/i50Appt_4j9U1Pj-RR8NSyrSl6-OFnyn2e_NKLvTipc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc5ODM1/OC0xMzMyODU2MDQx/LmpwZWc.jpeg,Ariola,"Funk / Soul, Pop",1970
Little Sister,You're The One (Parts I & II),https://i.discogs.com/hA0i-6pQ2dFUcP3vu3ogo4fGKXwACBzMTmxMAPBdZcM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0Nzcx/OC0xMTQzMDQyMjEx/LmpwZWc.jpeg,Stone Flower,Funk / Soul,1970
Nena,Lass Mich Dein Pirat Sein,https://i.discogs.com/-UgQEHUKOYOzVDjspT8GPMav3j0COeQxmQoSkP35dnI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNTQz/MzctMTQzMTQyMDYx/OC03ODUzLmpwZWc.jpeg,CBS,Rock,1984
James Carr,To Love Somebody / These Ain't Raindrops,https://i.discogs.com/1XZr2tYPMbxc1qlmcCML2_oyBIX87OFQtGlLD8WKuYM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMjY5/MjUtMTU0MjQ1NTM5/MS0zMTI4LmpwZWc.jpeg,Goldwax Records,Funk / Soul,1969
? & The Mysterians,96 Tears / Got To,https://i.discogs.com/roIO9K-XJG3gL0ydDF-s3FuItC9p6aX5QaLKVPUlRDk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU4OTcz/MjEtMTQwNTcxNDc4/Ny03MjQ2LmpwZWc.jpeg,Million Seller,Rock,
J.C. Davis,A New Day (Is Here at Last),https://i.discogs.com/HWPBu4fZBqCU1ZPHlF4fWgbHWUYDoXhYmXz2yRsWBAg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwOTI5/NDgtMTUzNDc2NTk4/OC03ODc1LmpwZWc.jpeg,"New Day (3), New Day (3)","Jazz, Funk / Soul",1969
Chuck Jackson,And That's Saying A Lot / All In My Mind,https://i.discogs.com/ITzMFCw78kjIQhkRjNQJzRRfaek9tC0UfrLOprPSn84/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2OTYx/NTktMTQxMjUyNzUz/OC05MDA4LmpwZWc.jpeg,Wand,Funk / Soul,1966
Exit 9 (2),Jive Man,https://i.discogs.com/7HA2vxnMto8_1Gpf-RPGdKP_L0YOWyjSOjK94YziTc0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzMjIz/NDUtMTUxOTczOTU2/MC03MTQ5LmpwZWc.jpeg,BRC,Funk / Soul,1975
Linda Fields & The Funky Boys,Sold My Rock'n'Roll (Gave It For Funky Soul),https://i.discogs.com/B521_KEq4dJLBLRPFrWfAY-ZBYoUkCmE89E4Pb-QHuE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzNDAx/MC0xMTc0NDk0NzMz/LmpwZWc.jpeg,"RCA Victor, RCA Victor, RCA, RCA","Funk / Soul, Pop",1975
Phillip Mitchell,There's Another In My Life,https://i.discogs.com/bQx3CdgoI8k6xfPDSTNPZtfDAe_s5QFqNXYl3a77m84/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2OTUx/MzUtMTM0MDY4NDY5/Ni04ODI5LmpwZWc.jpeg,Event Records Inc.,Funk / Soul,1975
Warm Excursion,Hang Up,https://i.discogs.com/NAbngIY9MaZrn7VpW3f4sm_JLEv96jXLBrcwDRGuLPo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNTQ5/MjAtMTYwMzY0Nzg1/Ny04MzI0LmpwZWc.jpeg,Pzazz Records,"Jazz, Funk / Soul",1969
Don Gregory & The Soul Trainers,Soul Line,https://i.discogs.com/UXQWpuOAiaUy8T2_BrU_bQeuQkt5NnU4TTQJXlMw_0g/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1MTI2/MzItMTQwNTA1NTk1/My04NjQ0LmpwZWc.jpeg,Apt Records,Funk / Soul,1972
The Magic Tones,I'll Make It Up To You / Good Old Music,https://i.discogs.com/njIsolbP21XzKLrEEGNUkzpLfj6hNSbpVt-EFT-xGrw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUxNDE3/NDMtMTM4NTYyNTY3/Ni02MDE4LmpwZWc.jpeg,Westbound Records,Funk / Soul,1969
Sight Unseen,I'm On My Way,https://i.discogs.com/A7oHQBi6VrSWJf4c__FMgemf47lCTa8p_zXk90cMYnA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2NzM5/NzktMTMzOTg0ODU3/MC0zNjQyLmpwZWc.jpeg,Real Records (14),"Rock, Funk / Soul",1969
